"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Days in Trade","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-08-03","10:41:00",7574.69,"26 Aug 17 7590 C STO 58.75 | 13 Aug 17 7550 C BTO 83.30 | 13 Aug 17 7630 C BTO 38.60",-450,7723.44,"2026-08-06","09:36:00",3,-610,"Profit Target",1950,33.33333333333333,13,589115,5850,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.964,0.978,15.7,15.92,15.06,69.91,58.89,-100
"2026-07-31","10:41:00",7438.11,"38 Aug 14 7450 C STO 78.65 | 19 Aug 14 7410 C BTO 103.85 | 19 Aug 14 7490 C BTO 56.35",-300,7504.63,"2026-07-31","15:59:00",0,-405,"Profit Target",1805,31.666666666666664,19,583540,5700,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",95,95,0.982,0.981,17.49,15.85,24.5,-24.02,43.33,-28.33
"2026-07-30","10:41:00",7413.85,"38 Aug 13 7425 C STO 82.75 | 19 Aug 13 7385 C BTO 108.10 | 19 Aug 13 7465 C BTO 60.30",-300,7542.53,"2026-08-03","09:49:00",4,-405,"Profit Target",1805,31.666666666666664,19,585345,5700,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",95,95,0.983,0.983,18.2,16.22,74.3,23.4,71.67,-61.67
"2026-07-29","10:41:00",7365.41,"46 Aug 12 7380 C STO 95.70 | 23 Aug 12 7340 C BTO 120.45 | 23 Aug 12 7420 C BTO 73.35",-250,7457.36,"2026-07-31","09:43:00",2,-340,"Profit Target",1840,32,23,579935,5750,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",115,115,0.988,0.986,19.94,17.35,-10.62,-52.75,46,-100
"2026-07-28","10:41:00",7403.19,"40 Aug 11 7415 C STO 87.40 | 20 Aug 11 7375 C BTO 112.60 | 20 Aug 11 7455 C BTO 64.95",-285,7495.74,"2026-07-31","15:19:00",3,-385,"Profit Target",1800,31.57894736842105,20,581735,5700,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",100,100,0.985,0.97,18.65,16.24,-17.63,7.64,154.39,-100
"2026-07-27","10:41:00",7398.74,"42 Aug 10 7410 C STO 92.30 | 21 Aug 10 7370 C BTO 117.70 | 21 Aug 10 7450 C BTO 69.50",-270,7411.08,"2026-07-29","14:01:00",2,-365,"Profit Target",1785,31.48148148148148,21,578095,5670,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",105,105,0.986,0.977,19.68,18.53,52.22,-65.46,53.7,-85.19
"2026-07-24","10:41:00",7405.34,"40 Aug 7 7420 C STO 87.55 | 20 Aug 7 7380 C BTO 112.90 | 20 Aug 7 7460 C BTO 64.90",-280,7465.71,"2026-07-27","09:52:00",3,-380,"Profit Target",1800,32.142857142857146,20,576310,5600,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",100,100,0.985,0.978,18.64,18.08,-2,-0.96,82.14,-44.64
"2026-07-23","10:41:00",7424.58,"38 Aug 6 7440 C STO 87.00 | 19 Aug 6 7400 C BTO 112.20 | 19 Aug 6 7480 C BTO 64.65",-295,7431.14,"2026-07-24","13:08:00",1,-400,"Profit Target",1805,32.20338983050847,19,574510,5605,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",95,95,0.984,0.97,18.85,18.15,-80.67,6.29,67.8,-35.59
"2026-07-22","10:41:00",7497.49,"32 Aug 5 7510 C STO 76.90 | 16 Aug 5 7470 C BTO 102.40 | 16 Aug 5 7550 C BTO 54.75",-345,7430.85,"2026-07-24","11:11:00",2,-470,"Profit Target",1840,33.33333333333333,16,570920,5520,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",80,80,0.979,0.934,17.2,17.97,-11.73,0.02,60.87,-23.19
"2026-07-21","10:41:00",7488.4,"34 Aug 4 7500 C STO 78.75 | 17 Aug 4 7460 C BTO 104.20 | 17 Aug 4 7540 C BTO 56.45",-325,7430.85,"2026-07-24","11:11:00",3,-440,"Profit Target",1785,32.30769230769231,17,572705,5525,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",85,85,0.98,0.933,17.48,17.97,46.67,-1.55,73.85,-13.85
"2026-07-20","10:41:00",7482.05,"34 Aug 3 7495 C STO 80.00 | 17 Aug 3 7455 C BTO 105.50 | 17 Aug 3 7535 C BTO 57.65",-325,7418.86,"2026-07-24","10:15:00",4,-440,"Profit Target",1785,32.30769230769231,17,569080,5525,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",85,85,0.981,0.937,18.15,18.36,31.49,-7.13,43.08,-30.77
"2026-07-17","10:41:00",7490.5,"32 Jul 31 7505 C STO 82.00 | 16 Jul 31 7465 C BTO 107.15 | 16 Jul 31 7545 C BTO 60.10",-335,7502.18,"2026-07-21","11:22:00",4,-455,"Profit Target",1760,32.83582089552239,16,565555,5360,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",80,80,0.981,0.968,18.1,17.15,-86.25,42.98,43.28,-29.85
"2026-07-16","10:41:00",7564.55,"28 Jul 30 7575 C STO 69.05 | 14 Jul 30 7535 C BTO 94.35 | 14 Jul 30 7615 C BTO 47.65",-400,7481.52,"2026-07-20","10:07:00",4,-540,"Profit Target",1820,32.5,14,561975,5600,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.973,0.904,15.86,18.14,-13.6,5.75,52.5,-27.5
"2026-07-15","10:41:00",7563.3,"24 Jul 29 7575 C STO 67.50 | 12 Jul 29 7535 C BTO 92.90 | 12 Jul 29 7615 C BTO 46.30",-430,7509.76,"2026-07-21","13:36:00",6,-585,"Profit Target",1740,33.72093023255814,12,567295,5160,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.97,0.887,16.18,17.04,28.13,-8.42,41.86,-16.28
"2026-07-14","10:41:00",7547.61,"26 Jul 28 7560 C STO 66.50 | 13 Jul 28 7520 C BTO 91.60 | 13 Jul 28 7600 C BTO 45.50",-420,7482.32,"2026-07-20","11:43:00",6,-570,"Profit Target",1820,33.33333333333333,13,563795,5460,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.97,0.877,16.33,17.85,21.36,10.91,41.67,-48.81
"2026-07-13","10:41:00",7544.96,"26 Jul 27 7555 C STO 66.90 | 13 Jul 27 7515 C BTO 91.85 | 13 Jul 27 7595 C BTO 45.90",-405,7560.68,"2026-07-15","14:47:00",2,-550,"Profit Target",1755,33.33333333333333,13,560155,5265,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.971,0.957,16.39,15.84,-27.86,-2.57,41.98,-49.38
"2026-07-10","10:41:00",7543.94,"26 Jul 24 7555 C STO 65.70 | 13 Jul 24 7515 C BTO 90.60 | 13 Jul 24 7595 C BTO 44.70",-400,7538.56,"2026-07-13","10:17:00",3,-540,"Profit Target",1690,32.5,13,558400,5200,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.971,0.949,15.76,16.4,4,-3.7,65,-25
"2026-07-09","10:41:00",7510.53,"26 Jul 23 7525 C STO 67.20 | 13 Jul 23 7485 C BTO 92.15 | 13 Jul 23 7565 C BTO 46.05",-390,7522.53,"2026-07-10","10:33:00",1,-530,"Profit Target",1690,33.33333333333333,13,516025,5070,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.973,0.954,16.49,15.8,8.89,18.93,94.87,-17.95
"2026-07-08","10:41:00",7450.57,"28 Jul 22 7465 C STO 75.50 | 14 Jul 22 7425 C BTO 100.75 | 14 Jul 22 7505 C BTO 53.65",-350,7522.53,"2026-07-10","10:33:00",2,-3150,"Below Delta",39060,797.1428571428571,14,555085,4900,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.978,0.864,17.87,15.8,-27.31,-25.97,807.14,-77.14
"2026-07-07","10:41:00",7485.02,"26 Jul 21 7495 C STO 69.45 | 13 Jul 21 7455 C BTO 94.50 | 13 Jul 21 7535 C BTO 48.10",-380,7531.82,"2026-07-10","10:36:00",3,-515,"Profit Target",1625,32.89473684210527,13,556710,4940,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.974,0.963,16.51,16.04,-20.8,-31.61,69.74,-72.37
"2026-07-06","10:41:00",7523.79,"22 Jul 20 7535 C STO 65.00 | 11 Jul 20 7495 C BTO 90.10 | 11 Jul 20 7575 C BTO 44.15",-435,7436.63,"2026-07-08","12:02:00",2,-590,"Profit Target",1595,33.33333333333333,11,512655,4785,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",55,55,0.968,0.894,16.05,18.07,23.72,16.83,51.72,-26.44
"2026-07-02","10:41:00",7509.54,"24 Jul 16 7520 C STO 67.25 | 12 Jul 16 7480 C BTO 92.05 | 12 Jul 16 7560 C BTO 46.30",-395,7517.88,"2026-07-07","14:14:00",5,-535,"Profit Target",1560,32.91139240506329,12,511060,4740,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.972,0.949,16.19,15.57,11.91,14.4,43.04,-12.66
"2026-07-01","10:41:00",7496.41,"24 Jul 15 7510 C STO 66.30 | 12 Jul 15 7470 C BTO 91.00 | 12 Jul 15 7550 C BTO 45.65",-415,7457.18,"2026-07-08","12:22:00",7,-565,"Profit Target",1680,33.734939759036145,12,514335,4980,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.97,0.905,16.29,17.53,-20.52,17.57,43.37,-27.71
"2026-06-30","10:41:00",7474.27,"28 Jul 14 7485 C STO 76.35 | 14 Jul 14 7445 C BTO 101.60 | 14 Jul 14 7525 C BTO 54.50",-350,7532.31,"2026-07-02","10:09:00",2,-475,"Profit Target",1610,32.857142857142854,14,509500,4900,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.978,0.965,17.03,15.87,0.84,33,92.86,-55.71
"2026-06-29","10:41:00",7401.75,"32 Jul 13 7415 C STO 83.75 | 16 Jul 13 7375 C BTO 108.70 | 16 Jul 13 7455 C BTO 61.85",-315,7495.05,"2026-06-30","14:28:00",1,-430,"Profit Target",1680,33.33333333333333,16,507890,5040,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",80,80,0.982,0.983,18.47,16.59,37.86,9.87,44.44,-80.95
"2026-06-26","10:41:00",7344.68,"34 Jul 10 7360 C STO 93.65 | 17 Jul 10 7320 C BTO 118.30 | 17 Jul 10 7400 C BTO 71.75",-285,7361.3,"2026-06-26","12:21:00",0,-385,"Profit Target",1530,31.57894736842105,17,506210,4845,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",85,85,0.986,0.962,19.46,20.2,-44.75,31.94,177.19,-17.54
"2026-06-25","10:41:00",7393.1,"36 Jul 9 7405 C STO 91.65 | 18 Jul 9 7365 C BTO 116.85 | 18 Jul 9 7445 C BTO 69.10",-275,7353.84,"2026-06-25","13:54:00",0,-375,"Profit Target",1620,32.72727272727273,18,503065,4950,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",90,90,0.986,0.964,18.72,18.81,46.69,-11.81,90.91,-10.91
"2026-06-24","10:41:00",7395.47,"34 Jul 8 7410 C STO 88.90 | 17 Jul 8 7370 C BTO 113.90 | 17 Jul 8 7450 C BTO 66.70",-290,7371.68,"2026-06-25","14:41:00",1,-395,"Profit Target",1615,32.758620689655174,17,504680,4930,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",85,85,0.984,0.971,18.65,18.78,5.42,24.59,48.28,-12.07
"2026-06-23","10:41:00",7403.51,"36 Jul 7 7415 C STO 92.95 | 18 Jul 7 7375 C BTO 118.00 | 18 Jul 7 7455 C BTO 70.50",-270,7328.83,"2026-06-25","09:56:00",2,-365,"Profit Target",1530,31.48148148148148,18,501445,4860,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",90,90,0.986,0.957,19.28,19.84,-106.28,37,74.07,-5.56
"2026-06-22","10:41:00",7485.2,"28 Jul 6 7500 C STO 77.20 | 14 Jul 6 7460 C BTO 102.30 | 14 Jul 6 7540 C BTO 55.45",-345,7476.63,"2026-06-22","11:26:00",0,-470,"Profit Target",1610,33.33333333333333,14,498375,4830,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.979,0.948,17.38,17.5,-0.14,-15.24,128.99,-7.25
"2026-06-18","10:41:00",7492.9,"28 Jul 2 7505 C STO 81.20 | 14 Jul 2 7465 C BTO 106.65 | 14 Jul 2 7545 C BTO 59.00",-335,7376.33,"2026-06-23","09:45:00",5,-455,"Profit Target",1540,32.83582089552239,14,499915,4690,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.98,0.927,17.08,19.57,67.26,5.54,43.28,-52.24
"2026-06-17","10:41:00",7506.27,"28 Jul 1 7520 C STO 79.80 | 14 Jul 1 7480 C BTO 104.85 | 14 Jul 1 7560 C BTO 58.05",-340,7445.53,"2026-06-17","14:06:00",0,-460,"Profit Target",1540,32.35294117647059,14,495265,4760,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.98,0.95,16.74,18.11,13.15,-18.23,72.06,-11.76
"2026-06-16","10:41:00",7549.03,"24 Jun 30 7560 C STO 72.40 | 12 Jun 30 7520 C BTO 97.25 | 12 Jun 30 7600 C BTO 51.25",-380,7523.93,"2026-06-22","10:07:00",6,-515,"Profit Target",1500,32.89473684210527,12,496765,4560,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.975,0.937,15.91,16.54,-5.51,0.25,42.11,-100
"2026-06-15","10:41:00",7544.81,"24 Jun 29 7560 C STO 71.05 | 12 Jun 29 7520 C BTO 95.40 | 12 Jun 29 7600 C BTO 50.45",-385,7518.44,"2026-06-17","14:00:00",2,-520,"Profit Target",1500,32.467532467532465,12,493725,4620,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.974,0.923,16.29,16.77,85.29,28.06,125.97,-33.77
"2026-06-12","10:41:00",7413.38,"38 Jun 26 7430 C STO 93.50 | 19 Jun 26 7390 C BTO 117.20 | 19 Jun 26 7470 C BTO 72.25",-255,7512.84,"2026-06-17","09:59:00",5,-345,"Profit Target",1520,31.372549019607842,19,492225,4845,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",95,95,0.987,0.985,19.01,16.53,16.55,2.53,56.86,-100
"2026-06-11","10:41:00",7306.2,"42 Jun 25 7320 C STO 106.65 | 21 Jun 25 7280 C BTO 130.60 | 21 Jun 25 7360 C BTO 84.90",-230,7304.81,"2026-06-11","12:22:00",0,-315,"Profit Target",1575,32.608695652173914,21,489745,4830,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",105,105,0.99,0.945,21.2,21.36,20.68,18.53,434.78,-47.83
"2026-06-10","10:41:00",7382.77,"34 Jun 24 7395 C STO 99.00 | 17 Jun 24 7355 C BTO 123.70 | 17 Jun 24 7435 C BTO 76.90",-270,7346.14,"2026-06-10","10:56:00",0,-365,"Profit Target",1445,31.48148148148148,17,486595,4590,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",85,85,0.987,0.975,20.59,21.23,-36.11,32.23,53.7,-7.41
"2026-06-09","10:41:00",7424.71,"30 Jun 23 7440 C STO 85.95 | 15 Jun 23 7400 C BTO 110.45 | 15 Jun 23 7480 C BTO 64.50",-315,7346.14,"2026-06-10","10:56:00",1,-430,"Profit Target",1575,33.33333333333333,15,488170,4725,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",75,75,0.983,0.961,18.41,21.23,32.93,-13.95,44.44,-100
"2026-06-08","10:41:00",7447.45,"28 Jun 22 7460 C STO 84.90 | 14 Jun 22 7420 C BTO 109.80 | 14 Jun 22 7500 C BTO 63.25",-335,7439.31,"2026-06-08","11:31:00",0,-455,"Profit Target",1540,32.83582089552239,14,485150,4690,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.981,0.966,18.3,18.68,56.83,6.88,74.63,-14.93
"2026-06-04","10:41:00",7553.89,"24 Jun 18 7565 C STO 76.30 | 12 Jun 18 7525 C BTO 101.25 | 12 Jun 18 7605 C BTO 55.00",-375,7439.31,"2026-06-08","11:31:00",4,-510,"Profit Target",1500,33.33333333333333,12,483610,4500,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.977,0.915,15.77,18.68,-37.14,37.35,45.33,-98.67
"2026-06-03","10:41:00",7584.13,"26 Jun 17 7595 C STO 71.95 | 13 Jun 17 7555 C BTO 96.20 | 13 Jun 17 7635 C BTO 51.20",-360,7592.39,"2026-06-04","14:01:00",1,-490,"Profit Target",1560,33.33333333333333,13,480550,4680,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.976,0.948,15.98,15.34,-4.47,-21.18,106.94,-5.56
"2026-06-02","10:41:00",7601.7,"24 Jun 16 7615 C STO 67.40 | 12 Jun 16 7575 C BTO 91.45 | 12 Jun 16 7655 C BTO 47.05",-380,7537.67,"2026-06-15","09:32:00",13,-470,"Above Delta",960,21.052631578947366,12,490705,4560,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.973,0.507,16.08,16.16,-4.56,6.3,34.21,-97.37
"2026-06-01","10:41:00",7573.43,"24 Jun 15 7585 C STO 67.80 | 12 Jun 15 7545 C BTO 92.00 | 12 Jun 15 7625 C BTO 47.45",-395,7520.39,"2026-06-05","10:18:00",4,-535,"Profit Target",1560,32.91139240506329,12,482110,4740,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.972,0.911,16.1,16.25,2.23,-8.86,46.84,-40.51
"2026-05-29","10:41:00",7573.44,"24 Jun 12 7585 C STO 69.90 | 12 Jun 12 7545 C BTO 93.60 | 12 Jun 12 7625 C BTO 50.00",-390,7574.42,"2026-06-01","10:12:00",3,-530,"Profit Target",1560,33.33333333333333,12,477430,4680,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.974,0.956,15.68,16.24,15.7,-5.89,51.28,-100
"2026-05-28","10:41:00",7542.04,"24 Jun 11 7555 C STO 69.50 | 12 Jun 11 7515 C BTO 93.30 | 12 Jun 11 7595 C BTO 49.55",-395,7600.9,"2026-06-01","13:30:00",4,-535,"Profit Target",1560,32.91139240506329,12,478990,4740,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.973,0.962,15.98,15.88,-0.54,22.22,86.08,-32.91
"2026-05-27","10:41:00",7527.21,"24 Jun 10 7540 C STO 74.20 | 12 Jun 10 7500 C BTO 97.75 | 12 Jun 10 7580 C BTO 54.25",-370,7541.78,"2026-05-28","10:13:00",1,-500,"Profit Target",1440,32.432432432432435,12,475870,4440,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.976,0.947,16.86,16.31,6.89,1.2,120.27,-4.05
"2026-05-26","10:41:00",7538.83,"24 Jun 9 7550 C STO 74.40 | 12 Jun 9 7510 C BTO 98.00 | 12 Jun 9 7590 C BTO 54.50",-380,7541.78,"2026-05-28","10:13:00",2,-515,"Profit Target",1500,32.89473684210527,12,474430,4560,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.976,0.931,16.88,16.31,38.32,27.04,132.89,-15.79
"2026-05-22","10:41:00",7480.85,"24 Jun 5 7495 C STO 71.40 | 12 Jun 5 7455 C BTO 94.85 | 12 Jun 5 7535 C BTO 51.75",-390,7481.84,"2026-05-22","15:03:00",0,-530,"Profit Target",1560,33.33333333333333,12,472930,4680,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",60,60,0.974,0.938,16.64,16.6,23.1,12.03,124.36,-12.82
"2026-05-21","10:41:00",7399.91,"26 Jun 4 7410 C STO 79.50 | 13 Jun 4 7370 C BTO 103.90 | 13 Jun 4 7450 C BTO 58.35",-335,7421.48,"2026-05-21","14:55:00",0,-455,"Profit Target",1430,32.83582089552239,13,471370,4355,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",65,65,0.98,0.97,17.61,17.35,-22.19,-10.87,67.16,-61.19
"2026-05-20","10:41:00",7398.78,"28 Jun 3 7410 C STO 82.00 | 14 Jun 3 7370 C BTO 106.10 | 14 Jun 3 7450 C BTO 60.95",-315,7434.22,"2026-05-21","13:19:00",1,-430,"Profit Target",1470,33.33333333333333,14,469940,4410,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.982,0.968,17.73,16.84,15.58,29.59,90.48,-100
"2026-05-19","10:41:00",7349.95,"34 Jun 2 7365 C STO 80.40 | 17 Jun 2 7325 C BTO 104.10 | 17 Jun 2 7405 C BTO 59.20",-260,7396.85,"2026-05-20","10:17:00",1,-355,"Profit Target",1445,32.69230769230769,17,468470,4420,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",85,85,0.985,0.969,17.9,17.61,-27.3,-25.8,150,-30.77
"2026-05-18","10:41:00",7395.11,"28 Jun 1 7410 C STO 81.70 | 14 Jun 1 7370 C BTO 105.55 | 14 Jun 1 7450 C BTO 60.90",-315,7394.13,"2026-05-18","15:03:00",0,-430,"Profit Target",1470,33.33333333333333,14,467025,4410,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.982,0.969,18.7,18.27,6.57,-19.96,58.73,-7.94
"2026-05-15","10:41:00",7442.14,"28 May 29 7455 C STO 81.70 | 14 May 29 7415 C BTO 105.60 | 14 May 29 7495 C BTO 60.95",-325,7425.25,"2026-05-18","10:20:00",3,-440,"Profit Target",1470,32.30769230769231,14,465555,4550,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.981,0.964,18.32,18.28,-56.13,-2.97,46.15,-6.15
"2026-05-13","10:41:00",7400.15,"28 May 27 7415 C STO 78.20 | 14 May 27 7375 C BTO 101.80 | 14 May 27 7455 C BTO 57.70",-320,7438.29,"2026-05-15","10:37:00",2,-435,"Profit Target",1470,32.8125,14,462655,4480,"SPX","*SPX Butterfly--14DTE--50 Delta & -40/40--v2.2",70,70,0.981,0.976,18.06,18.42,8.16,-8.97,43.75,-62.5
